feature,VIF
orientation_cos,11.209194960219678
orientation_sin,10.71346973112408
floor_num,4.874872470129677
room_count,4.789896129971804
footprint_area_m2,2.6500648110398406
window_type_2,2.2463567146947727
window_type_3,2.1805959326222095
u_wall,1.9268077417760157
boiler_eff,1.7741221560615128
u_win_e,1.7346161584712965
shgc_w,1.6925127041391217
shgc_s,1.676984809904995
room_area,1.669731949173742
equip_power,1.6585185152877882
dhw_per_person,1.589872860875255
shgc_n,1.5755205239004915
shgc_e,1.557340088748592
cop_heating,1.545835808248931
u_win_s,1.5112523447027333
roof_insul_thick,1.5052242318928486
dhw_temp,1.4977784013588873
wwr,1.486335161767249
aspect_ratio,1.4744246176465425
wall_thick,1.4729869936593771
operation_hours,1.453259163881702
fan_eff,1.436168257801317
public_area,1.4295443890580446
u_ground,1.4273695249435683
u_roof,1.4031616564964076
occupancy_density,1.3730845548189659
cop_cooling,1.3637704216973356
light_power,1.3569514863158987
floor_height,1.3568869604436233
insul_thick,1.3447053025765507
fresh_air_ach,1.3291135239037744
u_win_w,1.3211057719304218
cool_set,1.3053997752547166
u_win_n,1.2975837383660336
heat_set,1.2872547151593725
